C_COMP_MERC;INDIRIZZ;CARRAIO;FRONTE;INSEGNA;ANNO_INI;MESE_INI;TIPO_MER;DESC_RIP;DETT_RIP;CAT_MER;PREVALEN;TIPO_LOC;MQ_TOT_L;MQ_TOT_V;TIPO_ADD;NOME_ADD;SEZCENS;ZONASTAT;CIRCOSCRIZ;SEZ_ELET;CAP;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
EP;VIA PIETRO PALMIERI 61/A;No;No;;2007;2;             .;Somministrazione;D;Nessuna;;52031;65;;N;;760;17;3;0;10138;POINT (7.659904034018862 45.0720100113904);45.0720100113904;7.659904034018862;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CF;CORSO PESCHIERA 138/A;No;No;;2016;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Tabacchi;S;32891;43;18;N;NEGOZIO;1480;33;3;0;10138;POINT (7.654153032770266 45.063101202813);45.063101202813;7.654153032770266;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CF;CORSO PESCHIERA 138/A;No;No;;2016;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;32891;43;18;N;NEGOZIO;1480;33;3;0;10138;POINT (7.654153032770266 45.063101202813);45.063101202813;7.654153032770266;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CFE;CORSO PESCHIERA 138/A;No;No;;2016;10;EXTRALIMENTARI;GIORNALI;Vendita non esclusiva di quotidiani e periodici;Quotidiani e periodici;S;127099;40;20;;;1480;33;3;0;10138;POINT (7.654153032770266 45.063101202813);45.063101202813;7.654153032770266;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
AE;CORSO PESCHIERA 138/F;No;No;;1980;3;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;60094;0;.;;;1480;33;3;0;10138;POINT (7.653946073331372 45.06318071380812);45.063180713808116;7.6539460733313724;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
EP;CORSO PESCHIERA 138 bis/D;No;No;;1994;8;ALTRO;Somministrazione;A+B;Nessuna;;46069;135;;N;;1480;33;3;0;10138;POINT (7.653805734508413 45.06323475222512);45.06323475222512;7.6538057345084125;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CF;CORSO PESCHIERA 142 bis/D;No;No;;2017;8;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Panetteria;S;20944;30;24;;NEGOZIO;3292;33;3;0;10138;POINT (7.653471652272592 45.06336580097656);45.063365800976555;7.653471652272592;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CF;CORSO PESCHIERA 142 bis/D;No;No;;2017;8;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;20944;30;24;;NEGOZIO;3292;33;3;0;10138;POINT (7.653471652272592 45.06336580097656);45.063365800976555;7.653471652272592;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CF;VIA PIETRO PALMIERI 47;No;No;;2013;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Abbigliamento;S;127240;200;180;;NEGOZIO;754;17;3;199;10138;POINT (7.660645303983834 45.07306999482027);45.073069994820266;7.660645303983834;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CF;VIA PEROSA 74/B;No;No;;2017;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Tabacchi;S;138822;48;12;;NEGOZIO;1470;33;3;0;10139;POINT (7.648576996380992 45.06554582788259);45.065545827882595;7.648576996380992;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CF;VIA PEROSA 74/B;No;No;;2017;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;138822;48;12;;NEGOZIO;1470;33;3;0;10139;POINT (7.648576996380992 45.06554582788259);45.065545827882595;7.648576996380992;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CF;VIA PEROSA 74/B;No;No;;2004;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;29694;48;12;N;NEGOZIO;1470;33;3;0;10139;POINT (7.648576996380992 45.06554582788259);45.065545827882595;7.648576996380992;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CF;VIA PEROSA 74/B;No;No;;2004;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Tabacchi;N;29694;48;12;N;NEGOZIO;1470;33;3;0;10139;POINT (7.648576996380992 45.06554582788259);45.065545827882595;7.648576996380992;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CF;CORSO PESCHIERA 248;No;No;;2016;12;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;110711;40;32;;NEGOZIO;1415;32;3;223;10139;POINT (7.639301501893508 45.06883902674229);45.06883902674229;7.639301501893508;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CF;CORSO PESCHIERA 248;No;No;;2016;12;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Erboristeria;N;110711;40;32;;NEGOZIO;1415;32;3;223;10139;POINT (7.639301501893508 45.06883902674229);45.06883902674229;7.639301501893508;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
CF;CORSO PESCHIERA 252/D;No;No;;1975;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;32898;31;.;;NEGOZIO;1415;32;3;0;10139;POINT (7.638974915788272 45.06896509037058);45.06896509037058;7.638974915788272;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
AE;CORSO PESCHIERA 184/B;No;No;;2017;9;ALTRO;Acconciatori/estetisti;Estetica;Nessuna;;139120;94;.;;;1469;33;3;0;10139;POINT (7.647495422950383 45.06567444387137);45.06567444387137;7.647495422950383;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
AE;CORSO PESCHIERA 184/D;No;No;;2012;4;             .;Acconciatori/estetisti;Acconciatori;Nessuna;;111179;30;.;;;1469;33;3;0;10139;POINT (7.647388251397758 45.06571603996808);45.06571603996808;7.647388251397758;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
