ID_MERC;DENOM;LUOGO;GIORNI;CIRCOSCRIZ;QUARTIERE;geometry;LATITUDE;LONGITUDE
8;Carlina;piazza Carlina;dal lunedi al sabato;1;;POLYGON ((7.688962583998419 45.06582917648998, 7.688949858155668 45.06580761829333, 7.689189707626966 45.06572405528589, 7.689308567594789 45.06589403988534, 7.689294908703247 45.0659132877307, 7.689293964743621 45.06591327689263, 7.688962583998419 45.06582917648998));45.06582040062301;7.689146252925684
25;Matteotti Bolzano;corsi Matteotti, Vinzaglio;dal lunedi al sabato;1;;POLYGON ((7.6667119283363 45.06921209533037, 7.66665208922981 45.06912933200215, 7.666920663898029 45.06903399126673, 7.666976580508721 45.06911944413692, 7.6667119283363 45.06921209533037));45.06912349561298;7.66681550921446
30;Palestro;corso Palestro;dal lunedi al sabato;1;;POLYGON ((7.673398158558629 45.07528847826914, 7.67149104921064 45.07263818162, 7.671748687874742 45.07254819212751, 7.673655806348919 45.07519848460858, 7.673398158558629 45.07528847826914));45.07391834246499;7.672573431469103
17;Don Grioli;vie don Grioli, don Grazioli;dal lunedi al sabato;2;;POLYGON ((7.636202053606501 45.03685726268006, 7.635813291294804 45.03622412096229, 7.636403534734149 45.0360461155442, 7.636816503536314 45.03669700257515, 7.636211485147773 45.03687483359997, 7.636202053606501 45.03685726268006));45.036461375216774;7.636312419179589
36;S.Rita-Sebastopoli;corso Sebastopoli tra corsi IV Novembre e Orbassano;dal lunedi al sabato;2;;POLYGON ((7.64466305861602 45.0454421421212, 7.644541428834493 45.04530496161243, 7.649131969634085 45.04373644022866, 7.649236685127906 45.04388521891978, 7.64466305861602 45.0454421421212));45.04458795634272;7.646905502283627
16;Di Nanni;via Di Nanni tra corso Peschiera e via S.Bernardino;dal lunedi al sabato;3;;POLYGON ((7.649057302816426 45.06448284715884, 7.649071509666449 45.06447310969652, 7.647044371501029 45.06212128883055, 7.647576978095969 45.06205826070029, 7.647568569384309 45.06241476243162, 7.64931139243723 45.06437689228903, 7.649057302816426 45.06448284715884));45.06322735152865;7.648160252241116
6;Brunelleschi;corso Brunelleschi tra corso Peschiera e via Vandalino;dal lunedi al sabato;3;;POLYGON ((7.623673313959062 45.07442200165491, 7.623259807733899 45.07359485290387, 7.623040303323043 45.07283938176047, 7.622908224515516 45.07193638110513, 7.623341217469663 45.07195150908465, 7.623384750946574 45.07246712404958, 7.623551448161342 45.07309318539005, 7.624081702579324 45.07429815216299, 7.623673313959062 45.07442200165491));45.0731974756606;7.623419641187166
4;Benefica;piazza Martini - Benefica;dal lunedi al sabato;3;;POLYGON ((7.661863968678887 45.07315609213316, 7.66113732738968 45.07341606147879, 7.661090387406332 45.0735152321824, 7.661414124857835 45.07398358368292, 7.66155914701883 45.07402055133756, 7.662343086529547 45.07374395347471, 7.662353027611983 45.07368569656376, 7.662001970222345 45.07319125160884, 7.661868612396892 45.07315813608209, 7.661815953808015 45.07306440069192, 7.661847683948156 45.0730543834233, 7.661856639617387 45.07304294482731, 7.661874592961158 45.07303207956838, 7.661998905532506 45.07300432793065, 7.662080644502488 45.07303449465543, 7.662596939307248 45.0737634603952, 7.661399407814895 45.07418390437426, 7.660935763888904 45.07351761941702, 7.66100661105303 45.07335232578848, 7.661811967924206 45.07306603084876, 7.661819396593697 45.07307889674408, 7.661863968678887 45.07315609213316));45.07358134391437;7.661757326767732
26;Michele Rua;via Michele Rua;dal lunedi al sabato;3;;POLYGON ((7.612180850711622 45.07252829840649, 7.612255289734311 45.07145026705417, 7.612520890795012 45.0714608352003, 7.612436101527073 45.07253874092786, 7.612180850711622 45.07252829840649));45.07199097285835;7.612348552182436
3;Barcellona;piazza Barcellona;dal lunedi al sabato;4;;POLYGON ((7.663891888855913 45.08187470961889, 7.663902510861515 45.08182760374921, 7.664754513166316 45.08150246284805, 7.664824176267006 45.08151002481002, 7.665163482868191 45.08193456641013, 7.665153019002426 45.08197492707309, 7.664225052864273 45.08229018586968, 7.664165172067475 45.0822714927255, 7.663891888855913 45.08187470961889));45.081897549290034;7.664518141226439
12;Chironi;piazza Chironi;dal lunedi al sabato;4;;POLYGON ((7.641345533798941 45.07959650641502, 7.641341976999133 45.07959646408359, 7.642333381635992 45.07957296936547, 7.64233674658567 45.07965619218233, 7.64161245924713 45.07966774158063, 7.64134632635515 45.07963810724215, 7.641345533798941 45.07959650641502));45.07962210528632;7.641873702775904